column,unit,definition,applies_to,derivation
point_id,-,"Stable permanent row ID: <gas>_<sourcekey>_<gasbank>_<nnn>. The gas-bank tag is always present, which makes the ID immune to database growth; nnn is the row number within (gas, source_id), zero-padded, assigned in source order and never renumbered across versions. Rows with unresolved gas use UNK as the gas part.","solubility,watercontent,liquidwatercontent,mixtures,phaseboundaries","Generated at build time from the gas, the source key and the row position within its source; it is not the internal record own id, which is named in provenance/row_crosswalk.csv."
gas,-,"Dissolved gas, chemical formula label: CO2, H2, CH4, N2, H2S, C2H6, C3H8, nC4H10, iC4H10 (a few audited off-program rows carry N2O, Ar, O2; empty = gas unresolved in the source).","solubility,watercontent,liquidwatercontent,mixtures,phaseboundaries",Copied from the internal audited record without transformation.
temperature_K,K,Temperature.,"solubility,watercontent,liquidwatercontent,mixtures,phaseboundaries",Copied from the internal audited record without transformation.
pressure_MPa,MPa,Pressure; the basis is given in pressure_basis; empty = not printed / not resolvable.,"solubility,watercontent,liquidwatercontent,mixtures,phaseboundaries",Copied from the internal audited record without transformation.
pressure_basis,-,"What the pressure on this row is measured against: total system pressure, a partial pressure of the gas, or a basis the source does not settle. Values: total, partial_* (the variant names the route by which the partial pressure was established), unclear, unresolved; empty = the internal record carries no basis.","solubility,watercontent,liquidwatercontent,mixtures,phaseboundaries",Copied from the internal audited record without transformation.
salt,-,"Medium label: none, NaCl, KCl, CaCl2, MgCl2, seawater, or mixed. Every medium in this database is either pure water or a dissolved-salt solution: measurements in acids, bases, organic co-solvents, surfactants, colloids and other non-salt media are outside the database's scope and are not present in any file. 'mixed' covers every other audited SALT medium (multi-salt brines, other single electrolytes); exact composition in salt_composition. Empty = medium not recorded in the published source.","solubility,watercontent,liquidwatercontent,mixtures,phaseboundaries","Mapped from the internal medium label: 'water'/'H2O'/blank give none; a label in the six-word vocabulary passes through; any other in-scope salt medium, and any medium with a second salt recorded, gives mixed."
salt_molality,mol/kg water,Total dissolved-salt molality; 0 for salt=none; NaCl-equivalent for seawater; empty = the total is not recoverable from the source as printed.,"solubility,watercontent,liquidwatercontent,mixtures,phaseboundaries","On a single-salt medium, the molality printed by the source. On a mixed medium it is computed from the per-ion molalities of the internal record as m_Na + m_K + m_Ca + m_Mg - m_SO4, which is exact for the salts those columns cover, and it is EMPTY where those columns are blank or where a sulfate sits beside calcium or magnesium (ion totals alone cannot then say which salt it was). It is never the sum of two recorded salt slots: on some sources the first slot already holds the total."
salt_composition,-,Text spelling out the medium when salt is mixed or seawater; empty otherwise.,"solubility,watercontent,liquidwatercontent,mixtures,phaseboundaries","Built text. For a mixed medium: the internal medium label, followed by the per-ion molalities of the internal record where they are known. For seawater: the NaCl-equivalent note, plus the salinity exactly as the source printed it where the source printed one."
m_Na,mol/kg water,"Sodium ion molality of the aqueous medium, fully dissociated. Blank means the composition of this medium is not known to us in numbers: either the source prints no composition we can resolve, or the medium contains an ion outside these six (a carbonate, a bicarbonate, a hydroxide) and a partial fill would state a brine that does not balance. All six cells of a row are filled together or blank together; a blank is never a zero, and a zero is never a stand-in for 'not recorded'. Rows in pure water carry six zeros. Where the six are filled they balance charge: m_Na + m_K + 2*m_Ca + 2*m_Mg equals m_Cl + 2*m_SO4 to within 5e-6 mol/kg water, the storage precision of the internal record.","solubility,watercontent,liquidwatercontent,mixtures,phaseboundaries",Copied from the internal audited record without transformation.
m_Cl,mol/kg water,"Chloride ion molality of the aqueous medium, fully dissociated. Blank means the composition of this medium is not known to us in numbers: either the source prints no composition we can resolve, or the medium contains an ion outside these six (a carbonate, a bicarbonate, a hydroxide) and a partial fill would state a brine that does not balance. All six cells of a row are filled together or blank together; a blank is never a zero, and a zero is never a stand-in for 'not recorded'. Rows in pure water carry six zeros. Where the six are filled they balance charge: m_Na + m_K + 2*m_Ca + 2*m_Mg equals m_Cl + 2*m_SO4 to within 5e-6 mol/kg water, the storage precision of the internal record.","solubility,watercontent,liquidwatercontent,mixtures,phaseboundaries",Copied from the internal audited record without transformation.
